Board List,Title,Labels,Description
Sprint 1 - Backlog,TK-01 - Consolidar modelagem de dados e diagramas da Sprint 1,"database,docs,architecture,backend,critical,security","Unificar a modelagem relacional da Sprint 1 em um único card cobrindo usuários, papéis, equipes, lojas, clientes e leads, sustentando US-01 a US-07. Entregar schema consolidado, DER e diagramas de apoio relevantes para a sprint, como casos de uso, classes e sequência dos fluxos centrais."
Sprint 1 - Backlog,TK-02 - Criar migrations da Sprint 1,"database,critical","Transformar a modelagem consolidada da Sprint 1 em migrations versionadas cobrindo US-01 a US-07. Entregar banco reproduzível para desenvolvimento, revisão e demonstração."
Sprint 1 - Backlog,TK-03 - Preparar seeds mínimos de referência,"database","Criar dados mínimos para ambiente local e demonstração, especialmente para US-01, US-03, US-04 e US-05. Deixar o time apto a testar os fluxos sem preparação manual extensa."
Sprint 1 - Backlog,TK-04 - Implementar login com JWT,"backend,critical,security","Entregar o endpoint de autenticação previsto em US-01, com emissão de token JWT contendo identificação, papel e expiração. Deixar o fluxo pronto para consumo real pelo frontend."
Sprint 1 - Backlog,TK-05 - Implementar atualização do próprio acesso,"backend,security","Criar o fluxo protegido para atualização de e-mail e senha do próprio usuário, cobrindo US-02. Concluir com credenciais persistidas de forma segura."
Sprint 1 - Backlog,TK-06 - Implementar guards e policies de RBAC,"backend,critical,security","Implementar o controle de acesso por perfil no backend para atender US-03. Entregar restrição efetiva de rotas e casos de uso conforme papel do usuário."
Sprint 1 - Backlog,TK-07 - Criar módulo de usuários,backend,"Implementar o CRUD inicial administrativo de usuários vinculado a US-04. Cobrir a base mínima de criação, listagem, edição e exclusão conforme o papel administrador."
Sprint 1 - Backlog,TK-08 - Criar módulo de equipes e lojas,backend,"Implementar a operação inicial de equipes e o cadastro de lojas previstos em US-05. Deixar a estrutura organizacional pronta para ser usada pelos módulos seguintes."
Sprint 1 - Backlog,TK-09 - Criar módulo de clientes,backend,"Entregar cadastro e atualização de clientes para atender US-06. Suportar o vínculo posterior com leads sem retrabalho estrutural."
Sprint 1 - Backlog,TK-10 - Criar módulo de leads com vínculos completos,"backend,critical","Implementar cadastro, listagem e edição de leads vinculando cliente, loja e atendente, conforme US-07. Entregar o fluxo operacional mínimo do núcleo comercial da Sprint 1."
Sprint 1 - Backlog,TK-11 - Estruturar tela de login e sessão,"frontend,security","Construir a entrada funcional no sistema para US-01 e US-02, incluindo armazenamento de sessão autenticada mínima. Deixar o frontend apto a consumir o login real."
Sprint 1 - Backlog,TK-12 - Criar interface inicial de usuários,frontend,"Criar a interface inicial para operação administrativa de usuários, refletindo US-04. Viabilizar o fluxo base de gestão."
Sprint 1 - Backlog,TK-13 - Criar interface inicial de clientes,frontend,"Criar a interface inicial de cadastro e manutenção de clientes para US-06. Permitir operação básica integrada ao backend."
Sprint 1 - Backlog,TK-14 - Criar interface inicial de leads,"frontend,critical","Implementar o fluxo visual mínimo para cadastro, listagem e edição de leads, cobrindo US-07. Demonstrar o núcleo operacional da sprint do ponto de vista do usuário."
Sprint 1 - Backlog,TK-15 - Centralizar integração HTTP do frontend,"frontend,backend","Estruturar uma camada de integração HTTP reutilizável para os fluxos da Sprint 1, cobrindo US-01 a US-07. Evitar chamadas espalhadas e contratos inconsistentes."
Sprint 1 - Backlog,TK-16 - Documentar endpoints mínimos da Sprint 1,docs,"Registrar os contratos mínimos de endpoints usados nesta sprint, com base em US-01 a US-07. Facilitar alinhamento entre frontend, backend e revisão técnica."
Sprint 1 - Backlog,TK-17 - Sincronizar backlog, planning e execução da sprint,docs,"Manter os artefatos ágeis coerentes com o andamento real da Sprint 1. Fechar quando backlog, planning, goal e task board refletirem o estado efetivo da sprint."
Sprint 1 - Condicional,TK-18 - Aplicar escopo inicial de leads por perfil no backend,"backend,security,conditional","Aplicar controle inicial de visibilidade de leads por perfil, cobrindo US-08, apenas se US-03 e US-07 estiverem estáveis. Não competir com o compromisso principal da sprint."
Sprint 1 - Condicional,TK-19 - Refletir escopo inicial de leads na interface,"frontend,conditional","Refletir na interface o escopo inicial de leads por perfil, também ligado a US-08, somente se o backend correspondente já estiver funcional."
